data,alg,k,d,avg,std
MovieLens,SingleObj,2,2,0.024136576,0
MovieLens,Polytope,10,2,0.00048821,0
MovieLens,HS-RRM,10,2,0.000577176,0
MovieLens,RRMS,10,2,0.000186891,0
MovieLens,RRMS-Star,10,2,0.001817954,0
MovieLens,SingleObj,3,3,0.037369858,0
MovieLens,Polytope,10,3,0.006261125,0
MovieLens,HS-RRM,10,3,0.002410305,0.000356031
MovieLens,RRMS,10,3,0.013339582,0.002972198
MovieLens,RRMS-Star,10,3,0.021785649,0.005271286
MovieLens,SingleObj,4,4,0.027945182,0
MovieLens,Polytope,10,4,0.014649414,0
MovieLens,HS-RRM,10,4,0.003549804,0.00054149
MovieLens,RRMS,10,4,0.024710086,0.002297696
MovieLens,RRMS-Star,10,4,0.083612152,0.012422267
MovieLens,SingleObj,5,5,0.038885171,0
MovieLens,Polytope,10,5,0.015124291,0
MovieLens,HS-RRM,10,5,0.00674181,0.000948171
MovieLens,RRMS,10,5,0.02077121,0
MovieLens,RRMS-Star,10,5,0.091250709,0.005495561
MovieLens,SingleObj,6,6,0.034683731,0
MovieLens,Polytope,10,6,0.030417627,0
MovieLens,HS-RRM,10,6,0.008427762,0.000334201
MovieLens,RRMS,10,6,0.034683731,0
MovieLens,RRMS-Star,10,6,0.057079154,0.008011952
MovieLens,SingleObj,7,7,0.031003978,0
MovieLens,Polytope,10,7,0.031003978,0
MovieLens,HS-RRM,10,7,0.009507842,0.001038219
MovieLens,RRMS,10,7,0.031003978,0
MovieLens,RRMS-Star,10,7,0.053559842,0.004617012
